drug,protein
0,7839
1,7713
1,6932
1,6933
1,7891
1,7892
2,8621
2,8622
2,8623
3,10875
3,7891
3,7892
3,7893
3,8944
4,7839
4,9138
5,8173
6,8588
6,8587
6,7482
7,9699
7,9689
7,9502
8,8109
9,8588
9,8587
9,7482
10,7785
11,9699
11,9689
11,9502
11,9503
11,9535
11,10644
11,9355
12,8904
12,8173
13,9699
13,9502
14,7785
15,8587
15,8588
15,7482
16,7409
16,7734
17,7406
17,8625
17,7407
17,10354
17,9832
18,8587
18,8588
18,7482
18,7490
19,10740
20,10944
21,7848
21,7847
21,11079
21,9641
21,6768
21,8516
21,6995
21,7003
21,8920
21,8937
21,17662
21,7839
21,9887
22,9629
23,7891
23,7892
23,7893
23,6936
23,6938
23,6941
24,9699
24,9502
25,8686
25,10092
25,7355
25,8559
25,9547
25,9545
25,7482
26,9699
26,9689
26,9502
26,9503
26,10874
26,8849
26,6670
26,6995
26,7003
26,8937
27,7987
27,8904
28,8591
28,8592
28,7482
29,8587
29,8588
29,7482
30,6836
30,6834
30,6835
30,9972
30,9973
31,7848
31,10805
31,8101
31,7845
31,7843
32,8644
33,7925
33,7922
33,8528
34,8076
34,11983
34,8134
35,8622
35,8621
35,8623
35,9973
35,9682
35,7495
35,11107
35,7492
36,10695
36,10694
36,18293
37,7887
37,7888
38,8904
39,10859
40,8686
40,7482
41,8686
41,7482
42,7300
42,7302
42,7303
43,8173
43,8904
44,10875
45,8107
46,8708
46,7892
46,7893
46,11078
47,7846
47,7844
47,9502
47,10825
47,9890
47,7839
47,9598
47,9535
47,12812
48,7091
48,7891
49,7734
50,10740
51,8587
51,8588
51,7482
52,8235
55,10875
56,7987
57,6836
57,6834
57,6835
58,8587
58,8588
58,7482
59,8587
59,8588
59,7482
60,10810
60,6616
61,8686
61,8559
61,8404
61,8405
61,10092
61,7459
61,7355
61,9547
61,9545
61,9384
61,8606
61,17862
61,7482
62,7790
63,7082
64,8621
64,8622
65,7068
65,7069
65,7070
65,7071
66,7082
67,7082
67,7893
68,8107
68,7506
68,8142
68,7491
68,7495
68,6853
68,7497
69,10531
69,6734
70,9699
70,7840
70,9682
71,7891
71,7892
71,7893
72,7971
73,7002
73,9820
73,9783
73,12502
73,7496
73,7495
73,7488
73,9629
73,10483
73,10482
73,11996
73,12047
73,12857
73,14347
74,7067
75,6834
76,7987
77,8716
77,8719
78,8904
78,7987
79,7062
79,8413
79,8716
79,7088
79,7893
79,7072
79,8720
79,8718
80,7409
80,7734
81,7848
81,7849
81,7845
81,7846
81,7839
81,8937
81,8101
82,9573
82,9570
82,6485
83,8964
84,9138
84,7495
84,6616
84,9629
85,8588
85,8587
85,7482
86,8173
87,9479
87,9478
87,9830
88,8710
88,8550
88,7891
89,7488
89,7492
90,6932
90,6933
90,7891
90,7893
91,8621
91,8622
91,6932
91,6933
91,7891
91,7892
91,7893
92,11061
92,6932
92,6933
92,7891
92,7892
92,7893
93,6877
94,16519
94,8034
94,7042
94,11752
94,10416
94,11807
94,8180
94,9437
94,9443
94,14708
94,6492
94,15395
94,11709
94,10734
94,7044
94,12109
94,14825
94,8368
94,17914
94,13109
94,13717
94,8127
94,8228
94,14490
94,6615
94,6603
94,15927
94,12822
94,7448
94,6851
94,6852
94,13247
94,8181
94,10028
94,10030
94,7539
94,14895
94,8035
94,15810
94,19521
94,17545
94,10417
94,17450
94,15334
94,17919
94,16306
94,14655
94,15484
95,9192
95,9200
95,9193
95,13978
95,9179
95,19476
95,17101
95,10766
95,10767
95,8111
95,11280
95,9145
96,9178
96,12986
96,6653
96,13004
96,9192
96,13005
96,6781
96,10416
96,10417
96,9179
96,18176
97,8368
97,8346
97,8345
98,6642
98,9013
98,7042
98,7328
98,13482
98,16022
98,7492
98,10612
99,11854
99,16519
99,9674
99,11903
99,9576
99,9676
99,6492
99,13763
99,10491
99,9527
99,10500
100,10734
100,13699
100,7876
100,9501
100,12909
100,12469
100,10824
101,9532
101,8414
101,16354
101,6504
101,15884
101,9527
101,9531
101,11714
101,18804
102,12074
102,6514
102,9551
102,9697
102,6853
102,9696
102,18827
102,12699
102,7215
102,7200
102,7214
102,15509
102,10504
102,10502
102,10503
102,10506
102,10505
102,15975
102,16273
103,10474
103,10476
103,17494
103,8754
103,10505
104,9376
104,17494
104,17914
104,6770
104,9375
104,10474
104,6732
104,10476
104,6776
104,10506
104,10505
105,9709
105,9641
105,11763
105,11405
105,7524
105,9508
105,16387
105,15434
105,9489
105,18148
105,19112
105,11342
105,9708
105,15437
105,15171
105,15151
105,17877
105,17878
105,10975
105,6616
105,12402
105,12401
105,10449
105,10451
105,10452
106,10527
106,15114
106,9443
106,7026
106,6579
106,6580
106,11107
106,10308
106,17882
106,10505
106,10502
107,10165
107,8960
107,12547
107,8180
107,6774
107,6773
107,6776
107,6538
107,8181
107,7520
107,11525
107,6775
107,12862
107,6585
107,10441
107,16917
107,6984
108,9437
108,9471
108,6731
108,10474
108,6732
108,8064
109,7455
109,9779
109,8142
109,7851
109,8138
109,14263
109,10822
109,19583
109,10821
109,10817
109,10823
109,11679
109,6773
109,7044
109,9600
109,9590
109,12387
109,6984
109,10031
109,15416
109,17060
109,15079
109,10446
109,11809
109,11810
109,11308
109,13699
109,13199
110,7371
110,9557
110,9837
110,8388
110,9558
110,15755
110,9835
110,6547
110,7865
110,7885
110,6567
110,6648
110,6708
111,8916
111,12038
111,10477
111,11074
111,9774
111,12409
111,9775
111,9776
111,10280
111,15255
111,7860
112,7042
112,13109
112,16306
112,12109
112,12822
112,10307
112,6603
113,9193
113,9192
113,13105
113,6878
113,13846
113,8142
113,9179
113,9013
113,13403
113,14982
113,9155
113,9011
113,17808
113,14340
114,10824
114,14637
114,11509
114,10734
115,11060
115,8458
115,7504
115,7495
115,8073
116,6616
117,13830
117,7451
117,13199
117,10454
118,15845
118,11251
118,10361
118,10359
118,11654
118,11763
118,16387
118,15434
118,9477
118,6775
118,12011
118,7430
118,10489
118,11811
118,16507
119,15487
119,6886
119,9002
119,9179
119,11996
120,8102
120,11591
120,15560
120,14712
120,9255
120,10123
121,8257
121,8260
121,8248
121,8249
121,8263
121,8264
121,10448
121,9600
121,6852
121,8253
121,8138
121,8181
121,7786
121,6773
121,8142
121,8180
121,10734
121,8228
121,8101
121,10443
121,10442
121,10441
121,10447
121,8141
121,11679
121,6851
121,6492
121,8250
121,7977
121,7760
121,8251
121,8252
121,15416
121,18825
121,14708
121,18032
121,17450
121,12540
121,14263
121,13769
121,13830
121,14490
121,8140
121,8245
121,8240
121,8126
121,7971
121,8035
121,8034
121,13005
121,8241
121,8242
121,10026
121,8246
121,8247
121,10491
121,17187
121,16775
122,9085
122,14313
122,8277
122,8278
122,9083
122,7806
122,8282
122,8139
122,8232
122,8285
122,19269
122,8341
122,8234
122,9084
122,18101
122,14618
122,8133
122,8951
122,8276
122,8281
122,19666
122,8279
122,8283
122,8280
122,8284
122,8286
122,12057
122,8229
122,8230
122,8287
122,8233
122,8231
122,6629
122,9117
122,7495
122,9145
122,11598
122,12470
123,7514
123,11477
123,17051
123,15592
123,15539
123,12703
123,9848
123,12288
123,13850
123,7095
124,13717
124,6615
124,8053
124,8251
124,6840
124,8205
124,8252
124,12606
124,10417
124,17777
124,16519
124,14763
124,18033
124,8135
124,6603
124,8137
124,10416
124,11273
124,8136
124,8064
124,6653
124,8127
124,7581
124,8086
124,18499
124,11876
124,10470
125,11060
125,7507
125,7504
126,7242
126,19999
126,7238
126,7244
126,10469
126,8048
126,10506
127,13673
127,6852
127,6851
127,12315
127,14857
127,14885
128,12679
128,11080
128,10778
128,7539
128,10907
128,18137
128,8667
129,8126
129,8180
129,8181
129,7448
129,7042
129,7014
129,9081
129,16703
129,14825
129,11807
129,7166
130,14195
130,7102
130,16663
130,6616
130,10504
130,10502
130,10506
130,12824
130,16997
131,11060
131,7504
131,7507
131,7506
131,18118
131,10192
131,7500
131,8073
132,9972
132,9973
132,7860
133,6776
133,13782
133,9471
133,9374
133,9375
133,9376
133,14474
133,14967
133,13266
133,13785
133,11996
134,10733
134,16942
135,11017
135,6561
135,10564
135,6563
135,6562
135,6566
135,8188
135,18800
135,6564
135,6629
135,8340
135,9044
135,8889
135,9048
135,17790
135,8891
135,8890
135,7718
135,8344
135,6870
135,9043
135,13181
135,8505
135,8422
135,9047
135,14080
135,14868
135,8564
135,8563
135,8562
135,8504
135,8506
135,10114
135,12141
135,11258
135,7206
135,8664
135,11552
135,8483
135,10950
135,7540
135,8502
135,8501
135,8500
135,8663
135,8342
135,6620
135,8503
135,7541
135,14580
135,9126
135,6621
135,6619
135,14122
135,6625
135,6623
135,6622
135,8051
135,11692
135,6626
135,11251
135,6804
135,6886
135,14461
135,10025
135,8140
135,9576
135,9575
135,9574
135,6885
135,6507
135,7569
135,9446
135,8141
135,7567
135,9183
135,12540
135,9184
135,19668
135,9178
135,12986
135,11563
135,7572
135,18248
135,9185
135,10032
135,9182
135,13757
135,9277
135,9282
135,9186
135,9283
135,9279
135,9273
135,9188
135,9187
135,9276
135,9278
135,9284
135,9274
135,9280
135,9275
135,9292
135,9295
135,9285
135,9296
135,9294
135,9288
135,9287
135,9286
135,9291
135,9293
135,9297
135,9289
135,9290
135,9305
135,7581
135,9298
135,8276
135,15777
135,9301
135,9300
135,9299
135,9304
135,14646
135,7166
135,9302
135,15872
135,9303
135,7497
135,7580
135,6653
135,10309
135,8427
135,8428
135,7503
135,10978
135,11107
135,6678
135,6565
135,12663
136,7973
136,7972
136,11681
136,9179
136,7569
136,17557
136,11598
136,11996
136,12047
137,9973
137,9972
137,9776
137,9775
137,8916
137,7867
137,8219
137,10477
137,11074
137,9774
137,7860
137,6616
138,6603
138,6492
138,11752
138,16054
138,17545
138,17450
138,8228
138,11807
138,13699
138,16519
138,6491
138,10445
139,9532
139,6851
139,11049
140,18568
140,6623
140,15245
140,14669
140,16148
140,11922
140,10114
140,17887
140,11692
140,6619
140,6704
140,9962
140,7505
140,17196
140,18027
140,10109
140,10108
140,6616
140,10162
140,10107
140,16396
141,11693
141,6632
141,9848
141,7512
141,9802
141,9801
141,8278
141,8286
141,12057
141,8283
141,7573
141,8427
141,10559
141,7495
141,10958
141,9715
141,7095
141,6493
141,14442
141,12178
142,7481
142,15927
142,6637
142,6616
143,13125
143,11714
143,9763
144,6508
144,6851
144,6852
144,8548
145,11074
145,17024
145,17195
145,11996
145,12011
145,15741
146,11060
146,18118
146,7506
146,7494
146,7495
146,7500
146,7481
146,7489
146,8073
147,8101
147,16595
147,18754
147,7839
147,7847
147,9887
147,9890
147,7573
147,6875
147,11107
147,6678
147,9179
147,7481
147,7482
147,7483
148,6501
148,9629
148,12178
148,6493
148,15755
148,6630
148,11713
148,9835
148,6722
148,6537
148,7865
148,13426
148,6772
148,12473
148,6612
148,6582
148,6679
148,17396
148,6534
148,6533
148,6773
148,16548
148,6666
148,10686
148,6776
148,13069
148,6583
148,6647
148,12556
148,6499
148,6547
148,6721
148,9145
148,7194
148,9659
148,7422
148,7424
148,9488
148,9821
148,6567
149,11760
149,9888
149,12754
149,13247
149,9489
149,9784
149,12502
149,9785
149,9783
149,11997
149,16387
149,13977
149,15434
149,16568
149,17894
149,10025
149,7786
149,10468
149,14461
150,6708
150,6504
150,6520
150,15718
150,10620
150,15163
151,10446
151,16917
151,16768
151,6773
151,9261
152,8422
152,8367
152,12857
152,9629
152,10501
152,11996
152,12011
152,15741
152,12047
152,13020
152,10491
152,14347
153,10467
153,8775
153,7482
153,7481
153,7495
153,7490
153,7488
153,7487
153,9629
154,6600
154,7490
154,14347
154,12857
155,7534
155,6871
155,6853
155,10490
156,6632
156,10413
157,8255
157,7495
157,7036
158,8015
158,12144
159,10466
159,12169
159,18408
159,10465
159,7631
159,9003
159,10467
159,7483
159,10503
159,10506
160,7047
160,6853
161,7228
161,7232
161,7226
161,7227
161,7229
161,11759
161,15563
161,15934
161,7233
161,7234
161,7200
161,7483
161,7492
161,7486
161,7487
161,7481
161,7482
161,7488
161,7489
161,7490
161,7495
161,9002
161,9003
161,10504
161,10502
161,10503
161,10506
161,10505
162,7222
162,7219
162,7495
162,7961
163,11022
163,7495
164,6579
165,9928
165,9925
165,7495
165,7488
165,7482
165,7490
165,9629
165,14347
167,7539
168,10465
168,10467
168,10466
168,9002
168,9003
168,9380
168,7495
169,10322
170,9457
170,10465
170,10467
170,8538
170,9455
170,9454
170,7222
170,7219
170,10711
170,10317
170,11074
170,6569
170,7495
170,7487
170,15163
171,6541
172,6579
172,6580
172,7482
173,7495
173,7490
173,7488
173,7496
173,9629
174,9776
174,7867
174,9502
174,7762
174,7811
174,7809
174,9775
174,9774
174,8286
174,7495
174,7489
174,15163
174,7488
174,7481
174,7487
174,7490
174,7496
174,7485
174,15164
174,15162
174,15149
174,15148
174,15147
174,15155
174,15146
174,11020
174,11022
174,12857
175,9319
175,9320
175,7186
175,10490
175,12011
176,8217
176,8775
176,7495
176,7485
176,7496
176,14347
176,9629
176,12857
176,10501
177,9192
177,9200
177,10766
177,17101
177,11280
177,13978
177,10767
178,6569
178,9557
178,6570
178,10283
178,9859
178,9662
178,9659
178,9660
178,6782
178,6571
178,7482
178,7495
178,7492
178,7489
178,7490
178,7481
178,12047
179,15934
179,7219
179,7220
179,7222
179,6853
180,11560
180,9562
180,9563
180,7495
180,7496
180,7485
180,7490
180,7488
180,7492
180,12470
180,12857
180,9629
181,8775
181,8790
181,8784
181,7495
181,10504
182,7569
182,8374
182,7489
182,15452
182,18602
183,10494
183,6693
183,7496
183,9629
183,10502
183,10504
183,12857
184,13785
184,7495
184,9629
185,16496
185,7488
185,9138
185,7490
185,7489
185,7482
185,7487
185,7492
186,7219
186,7222
187,10083
187,10084
187,10281
187,10282
187,10280
187,8748
187,10859
187,10082
187,8180
188,6576
188,6575
188,6574
188,10490
189,10122
190,6801
190,7488
190,7495
190,9629
190,12047
190,12011
191,10485
191,10486
191,7489
191,7490
191,6616
191,12857
192,10467
192,8493
192,7495
192,7488
192,7482
192,9629
193,8534
193,8536
193,8533
193,7495
193,7490
193,7488
193,7483
193,9972
193,9629
194,8776
195,10896
195,7482
196,7219
197,7495
197,7485
197,7496
197,7487
197,7488
197,15163
197,7490
197,6616
197,9629
197,10502
197,10501
197,12047
197,12857
197,14347
198,6579
198,6580
199,8783
199,8776
199,10686
199,7490
200,8255
201,7495
201,7485
201,7496
201,15163
201,9629
201,10502
201,9145
201,10501
201,12857
202,10465
203,8422
203,8716
203,8367
203,7495
203,9762
203,7489
203,15163
203,15164
203,11020
203,7488
203,6616
203,9629
203,10501
203,12857
203,14347
204,6794
204,8135
204,7492
204,6616
205,11996
205,12011
206,6977
206,10441
206,11308
207,7495
207,7487
207,7490
208,10485
208,6961
208,6963
209,9973
209,7236
209,6632
209,14521
209,9138
210,10465
210,7495
210,9629
211,9555
212,8240
212,8241
212,8242
212,8245
212,8246
212,8247
212,8248
212,8249
212,6616
212,10449
213,7487
213,7495
213,7496
213,7490
213,7483
213,7482
213,7485
213,6616
213,10502
214,11693
214,7495
214,7488
215,8255
215,7495
215,7036
216,8018
216,8019
216,8020
216,8021
216,8022
216,7228
216,8241
216,8246
217,10272
217,10273
217,14546
217,9741
217,9745
217,9746
217,15057
217,15841
217,9386
217,7531
217,12047
217,16349
218,6579
218,7495
218,9467
218,9629
218,15452
218,18602
219,9973
219,9972
219,6632
219,9776
219,7236
219,8615
219,9138
219,6486
220,7219
220,10466
220,8493
220,10467
220,10465
220,6616
221,7631
221,7634
221,7632
221,7633
221,8533
221,8534
221,8535
221,8538
221,8542
221,8543
221,8493
221,6576
221,6575
221,6577
221,6578
221,7219
221,7220
221,7222
221,7223
221,7224
221,8541
221,7495
221,6678
221,6616
221,9467
221,9629
222,8537
222,8538
222,8533
222,8543
222,8534
222,8536
222,8535
222,7495
223,7631
223,8537
223,7632
223,7633
223,6577
223,8533
223,6578
223,7634
223,8534
223,8538
223,8543
223,6576
223,6575
223,6574
223,6579
223,6580
223,7495
223,9629
225,7496
225,7495
225,7963
225,9972
225,9973
225,7489
225,7488
225,6487
225,7490
225,7485
225,7492
225,9138
225,7491
227,10322
227,10315
227,11693
227,10316
227,10319
227,8775
227,10317
227,10323
227,7490
227,7488
227,7489
227,7487
227,7495
227,7496
227,7485
227,7501
227,15163
227,15149
227,15155
227,7482
227,7483
227,7492
227,7780
227,15162
227,7328
227,7573
227,7491
227,6616
227,10740
227,9629
228,8255
228,7495
228,7496
228,7036
228,10501
228,9629
228,12011
229,7495
229,11996
229,19535
230,7807
230,7811
230,7808
230,7809
230,7810
230,12782
230,11693
230,6720
230,10413
230,7328
230,7495
230,7489
230,7490
230,7492
230,10960
230,12047
230,9629
230,12857
231,11693
231,19487
231,7489
231,7495
231,7487
231,7483
231,7490
231,7492
231,7485
231,9629
231,12857
231,14347
232,7488
232,7492
232,7495
233,7539
233,18737
234,9555
234,7482
235,8276
236,7490
237,6579
237,6580
237,7495
237,6616
237,10504
238,16595
238,7573
238,7399
238,7490
238,6616
239,7632
239,7633
239,7631
239,7482
240,7807
241,6977
241,6979
241,11734
241,11937
241,6972
241,6975
241,7495
242,8495
243,8018
243,6961
243,6963
243,6962
243,6973
243,7488
243,7495
243,6616
243,9629
244,6616
244,10490
245,6600
245,14347
245,12857
246,10896
246,8775
246,9467
246,6616
246,9629
247,6569
247,6570
247,6571
247,9557
247,11560
247,9555
247,8367
247,17056
247,13694
247,6572
247,16712
247,7495
247,7482
247,6541
247,7492
247,7481
247,13020
248,7839
248,7495
248,7496
248,6616
249,10831
249,10832
249,9540
249,15163
249,10960
249,10740
249,6616
249,10501
249,12857
249,14347
249,10482
249,12011
