node,map
DB00001,0
DB00002,1
DB00004,2
DB00005,3
DB00006,4
DB00007,5
DB00008,6
DB00009,7
DB00010,8
DB00011,9
DB00012,10
DB00013,11
DB00014,12
DB00015,13
DB00016,14
DB00018,15
DB00019,16
DB00020,17
DB00022,18
DB00023,19
DB00024,20
DB00025,21
DB00027,22
DB00028,23
DB00029,24
DB00030,25
DB00031,26
DB00032,27
DB00033,28
DB00034,29
DB00035,30
DB00036,31
DB00038,32
DB00039,33
DB00040,34
DB00041,35
DB00042,36
DB00043,37
DB00044,38
DB00045,39
DB00046,40
DB00047,41
DB00048,42
DB00050,43
DB00051,44
DB00052,45
DB00054,46
DB00055,47
DB00056,48
DB00058,49
DB00059,50
DB00060,51
DB00061,52
DB00062,53
DB00064,54
DB00065,55
DB00066,56
DB00067,57
DB00068,58
DB00069,59
DB00070,60
DB00071,61
DB00072,62
DB00073,63
DB00074,64
DB00075,65
DB00078,66
DB00081,67
DB00082,68
DB00083,69
DB00086,70
DB00087,71
DB00089,72
DB00091,73
DB00092,74
DB00093,75
DB00094,76
DB00095,77
DB00097,78
DB00098,79
DB00099,80
DB00100,81
DB00102,82
DB00103,83
DB00104,84
DB00105,85
DB00106,86
DB00107,87
DB00108,88
DB00109,89
DB00110,90
DB00111,91
DB00112,92
DB00113,93
DB00114,94
DB00115,95
DB00116,96
DB00117,97
DB00118,98
DB00119,99
DB00120,100
DB00121,101
DB00122,102
DB00123,103
DB00125,104
DB00126,105
DB00127,106
DB00128,107
DB00129,108
DB00130,109
DB00131,110
DB00132,111
DB00133,112
DB00134,113
DB00135,114
DB00136,115
DB00137,116
DB00138,117
DB00139,118
DB00140,119
DB00141,120
DB00142,121
DB00143,122
DB00144,123
DB00145,124
DB00146,125
DB00148,126
DB00149,127
DB00150,128
DB00151,129
DB00152,130
DB00153,131
DB00154,132
DB00155,133
DB00156,134
DB00157,135
DB00158,136
DB00159,137
DB00160,138
DB00161,139
DB00162,140
DB00163,141
DB00165,142
DB00166,143
DB00167,144
DB00168,145
DB00169,146
DB00170,147
DB00171,148
DB00172,149
DB00173,150
DB00174,151
DB00175,152
DB00176,153
DB00177,154
DB00178,155
DB00179,156
DB00180,157
DB00181,158
DB00182,159
DB00183,160
DB00184,161
DB00185,162
DB00186,163
DB00187,164
DB00188,165
DB00189,166
DB00190,167
DB00191,168
DB00192,169
DB00193,170
DB00194,171
DB00195,172
DB00196,173
DB00197,174
DB00198,175
DB00199,176
