drug1,drug2
DB00568,tcm-0001
DB00568,DB01114
DB00568,DB00316
DB00568,tcm-0000
DB00568,DB09209
DB00568,DB01050
DB00568,DB04209
DB00568,DB00455
DB00568,DB00945
DB00568,tcm-0004
DB00568,tcm-0006
DB00568,DB00514
DB00568,DB06694
DB00568,tcm-0003
DB00568,DB06742
DB00568,DB06151
DB00568,DB00341
DB00568,tcm-0002
DB00568,tcm-0007
DB00568,tcm-0005
tcm-0001,DB00568
tcm-0001,DB01114
tcm-0001,DB00316
tcm-0001,tcm-0000
tcm-0001,DB09209
tcm-0001,DB01050
tcm-0001,DB04209
tcm-0001,DB00455
tcm-0001,DB00945
tcm-0001,tcm-0004
tcm-0001,tcm-0006
tcm-0001,DB00514
tcm-0001,DB06694
tcm-0001,tcm-0003
tcm-0001,DB06742
tcm-0001,DB06151
tcm-0001,DB00341
tcm-0001,tcm-0002
tcm-0001,tcm-0007
tcm-0001,tcm-0005
DB01114,DB00568
DB01114,tcm-0001
DB01114,DB00316
DB01114,tcm-0000
DB01114,DB09209
DB01114,DB01050
DB01114,DB04209
DB01114,DB00455
DB01114,DB00945
DB01114,tcm-0004
DB01114,tcm-0006
DB01114,DB00514
DB01114,DB06694
DB01114,tcm-0003
DB01114,DB06742
DB01114,DB06151
DB01114,DB00341
DB01114,tcm-0002
DB01114,tcm-0007
DB01114,tcm-0005
DB00316,DB00568
DB00316,tcm-0001
DB00316,DB01114
DB00316,tcm-0000
DB00316,DB09209
DB00316,DB01050
DB00316,DB04209
DB00316,DB00455
DB00316,DB00945
DB00316,tcm-0004
DB00316,tcm-0006
DB00316,DB00514
DB00316,DB06694
DB00316,tcm-0003
DB00316,DB06742
DB00316,DB06151
DB00316,DB00341
DB00316,tcm-0002
DB00316,tcm-0007
DB00316,tcm-0005
tcm-0000,DB00568
tcm-0000,tcm-0001
tcm-0000,DB01114
tcm-0000,DB00316
tcm-0000,DB09209
tcm-0000,DB01050
tcm-0000,DB04209
tcm-0000,DB00455
tcm-0000,DB00945
tcm-0000,tcm-0004
tcm-0000,tcm-0006
tcm-0000,DB00514
tcm-0000,DB06694
tcm-0000,tcm-0003
tcm-0000,DB06742
tcm-0000,DB06151
tcm-0000,DB00341
tcm-0000,tcm-0002
tcm-0000,tcm-0007
tcm-0000,tcm-0005
DB09209,DB00568
DB09209,tcm-0001
DB09209,DB01114
DB09209,DB00316
DB09209,tcm-0000
DB09209,DB01050
DB09209,DB04209
DB09209,DB00455
DB09209,DB00945
DB09209,tcm-0004
DB09209,tcm-0006
DB09209,DB00514
DB09209,DB06694
DB09209,tcm-0003
DB09209,DB06742
DB09209,DB06151
DB09209,DB00341
DB09209,tcm-0002
DB09209,tcm-0007
DB09209,tcm-0005
DB01050,DB00568
DB01050,tcm-0001
DB01050,DB01114
DB01050,DB00316
DB01050,tcm-0000
DB01050,DB09209
DB01050,DB04209
DB01050,DB00455
DB01050,DB00945
DB01050,tcm-0004
DB01050,tcm-0006
DB01050,DB00514
DB01050,DB06694
DB01050,tcm-0003
DB01050,DB06742
DB01050,DB06151
DB01050,DB00341
DB01050,tcm-0002
DB01050,tcm-0007
DB01050,tcm-0005
DB04209,DB00568
DB04209,tcm-0001
DB04209,DB01114
DB04209,DB00316
DB04209,tcm-0000
DB04209,DB09209
DB04209,DB01050
DB04209,DB00455
DB04209,DB00945
DB04209,tcm-0004
DB04209,tcm-0006
DB04209,DB00514
DB04209,DB06694
DB04209,tcm-0003
DB04209,DB06742
DB04209,DB06151
DB04209,DB00341
DB04209,tcm-0002
DB04209,tcm-0007
DB04209,tcm-0005
DB00455,DB00568
DB00455,tcm-0001
DB00455,DB01114
DB00455,DB00316
DB00455,tcm-0000
DB00455,DB09209
DB00455,DB01050
DB00455,DB04209
DB00455,DB00945
DB00455,tcm-0004
DB00455,tcm-0006
DB00455,DB00514
DB00455,DB06694
DB00455,tcm-0003
DB00455,DB06742
DB00455,DB06151
DB00455,DB00341
DB00455,tcm-0002
DB00455,tcm-0007
DB00455,tcm-0005
DB00945,DB00568
DB00945,tcm-0001
DB00945,DB01114
DB00945,DB00316
DB00945,tcm-0000
DB00945,DB09209
DB00945,DB01050
DB00945,DB04209
DB00945,DB00455
DB00945,tcm-0004
DB00945,tcm-0006
DB00945,DB00514
DB00945,DB06694
DB00945,tcm-0003
DB00945,DB06742
DB00945,DB06151
DB00945,DB00341
DB00945,tcm-0002
DB00945,tcm-0007
DB00945,tcm-0005
tcm-0004,DB00568
tcm-0004,tcm-0001
tcm-0004,DB01114
tcm-0004,DB00316
tcm-0004,tcm-0000
tcm-0004,DB09209
