tcm,tcm_index,target_gene_id
金花清感颗粒,tcm-0001,2056
金花清感颗粒,tcm-0001,2064
金花清感颗粒,tcm-0001,16
金花清感颗粒,tcm-0001,18
金花清感颗粒,tcm-0001,19
金花清感颗粒,tcm-0001,31
金花清感颗粒,tcm-0001,4128
金花清感颗粒,tcm-0001,4129
金花清感颗粒,tcm-0001,161823
金花清感颗粒,tcm-0001,4133
金花清感颗粒,tcm-0001,40
金花清感颗粒,tcm-0001,41
金花清感颗粒,tcm-0001,43
金花清感颗粒,tcm-0001,653361
金花清感颗粒,tcm-0001,2099
金花清感颗粒,tcm-0001,2100
金花清感颗粒,tcm-0001,55349
金花清感颗粒,tcm-0001,58
金花清感颗粒,tcm-0001,59
金花清感颗粒,tcm-0001,60
金花清感颗粒,tcm-0001,70
金花清感颗粒,tcm-0001,8263
金花清感颗粒,tcm-0001,71
金花清感颗粒,tcm-0001,72
金花清感颗粒,tcm-0001,4170
金花清感颗粒,tcm-0001,86
金花清感颗粒,tcm-0001,10327
金花清感颗粒,tcm-0001,4193
金花清感颗粒,tcm-0001,100
金花清感颗粒,tcm-0001,4199
金花清感颗粒,tcm-0001,103
金花清感颗粒,tcm-0001,104
金花清感颗粒,tcm-0001,105
金花清感颗粒,tcm-0001,2152
金花清感颗粒,tcm-0001,6256
金花清感颗粒,tcm-0001,6257
金花清感颗粒,tcm-0001,135293
金花清感颗粒,tcm-0001,125
金花清感颗粒,tcm-0001,130
金花清感颗粒,tcm-0001,8324
金花清感颗粒,tcm-0001,8325
金花清感颗粒,tcm-0001,132
金花清感颗粒,tcm-0001,136
金花清感颗粒,tcm-0001,4233
金花清感颗粒,tcm-0001,2194
金花清感颗粒,tcm-0001,148
金花清感颗粒,tcm-0001,150
金花清感颗粒,tcm-0001,153
金花清感颗粒,tcm-0001,154
金花清感颗粒,tcm-0001,155
金花清感颗粒,tcm-0001,10396
金花清感颗粒,tcm-0001,2206
金花清感颗粒,tcm-0001,2208
金花清感颗粒,tcm-0001,4257
金花清感颗粒,tcm-0001,80036
金花清感颗粒,tcm-0001,110773
金花清感颗粒,tcm-0001,6331
金花清感颗粒,tcm-0001,191
金花清感颗粒,tcm-0001,6337
金花清感颗粒,tcm-0001,6338
金花清感颗粒,tcm-0001,6339
金花清感颗粒,tcm-0001,196
金花清感颗粒,tcm-0001,6340
金花清感颗粒,tcm-0001,6347
金花清感颗粒,tcm-0001,2252
金花清感颗粒,tcm-0001,207
金花清感颗粒,tcm-0001,10449
金花清感颗粒,tcm-0001,110804
金花清感颗粒,tcm-0001,4308
金花清感颗粒,tcm-0001,212
金花清感颗粒,tcm-0001,51412
金花清感颗粒,tcm-0001,4312
金花清感颗粒,tcm-0001,102641880
金花清感颗粒,tcm-0001,4313
金花清感颗粒,tcm-0001,55515
金花清感颗粒,tcm-0001,159963
金花清感颗粒,tcm-0001,4317
金花清感颗粒,tcm-0001,4318
金花清感颗粒,tcm-0001,4319
金花清感颗粒,tcm-0001,110819
金花清感颗粒,tcm-0001,55526
金花清感颗粒,tcm-0001,231
金花清感颗粒,tcm-0001,6376
金花清感颗粒,tcm-0001,240
金花清感颗粒,tcm-0001,248
金花清感颗粒,tcm-0001,6401
金花清感颗粒,tcm-0001,6403
金花清感颗粒,tcm-0001,259
金花清感颗粒,tcm-0001,262
金花清感颗粒,tcm-0001,2335
金花清感颗粒,tcm-0001,6439
金花清感颗粒,tcm-0001,100133168
金花清感颗粒,tcm-0001,2353
金花清感颗粒,tcm-0001,2355
金花清感颗粒,tcm-0001,102238523
金花清感颗粒,tcm-0001,108167498
金花清感颗粒,tcm-0001,331
金花清感颗粒,tcm-0001,6476
金花清感颗粒,tcm-0001,332
金花清感颗粒,tcm-0001,10598
金花清感颗粒,tcm-0001,10606
金花清感颗粒,tcm-0001,367
金花清感颗粒,tcm-0001,6513
金花清感颗粒,tcm-0001,6514
金花清感颗粒,tcm-0001,6515
金花清感颗粒,tcm-0001,6517
金花清感颗粒,tcm-0001,6528
金花清感颗粒,tcm-0001,6530
金花清感颗粒,tcm-0001,6531
金花清感颗粒,tcm-0001,6532
金花清感颗粒,tcm-0001,414089
金花清感颗粒,tcm-0001,4504
金花清感颗粒,tcm-0001,27032
金花清感颗粒,tcm-0001,6566
金花清感颗粒,tcm-0001,8626
金花清感颗粒,tcm-0001,6580
金花清感颗粒,tcm-0001,6584
金花清感颗粒,tcm-0001,8644
金花清感颗粒,tcm-0001,8648
金花清感颗粒,tcm-0001,8654
金花清感颗粒,tcm-0001,319954
金花清感颗粒,tcm-0001,653781
金花清感颗粒,tcm-0001,139741
金花清感颗粒,tcm-0001,4582
金花清感颗粒,tcm-0001,2534
金花清感颗粒,tcm-0001,2538
金花清感颗粒,tcm-0001,8685
金花清感颗粒,tcm-0001,2550
金花清感颗粒,tcm-0001,6647
金花清感颗粒,tcm-0001,170487
金花清感颗粒,tcm-0001,6649
金花清感颗粒,tcm-0001,4602
金花清感颗粒,tcm-0001,23038
金花清感颗粒,tcm-0001,117247
金花清感颗粒,tcm-0001,4609
金花清感颗粒,tcm-0001,51738
金花清感颗粒,tcm-0001,653857
金花清感颗粒,tcm-0001,2596
金花清感颗粒,tcm-0001,84517
金花清感颗粒,tcm-0001,55848
金花清感颗粒,tcm-0001,55860
金花清感颗粒,tcm-0001,572
金花清感颗粒,tcm-0001,6718
金花清感颗粒,tcm-0001,115489344
金花清感颗粒,tcm-0001,2628
金花清感颗粒,tcm-0001,581
金花清感颗粒,tcm-0001,590
金花清感颗粒,tcm-0001,593
金花清感颗粒,tcm-0001,595
金花清感颗粒,tcm-0001,596
金花清感颗粒,tcm-0001,598
金花清感颗粒,tcm-0001,51802
金花清感颗粒,tcm-0001,51805
金花清感颗粒,tcm-0001,27232
金花清感颗粒,tcm-0001,8804
金花清感颗粒,tcm-0001,51816
金花清感颗粒,tcm-0001,10864
金花清感颗粒,tcm-0001,6772
金花清感颗粒,tcm-0001,6774
金花清感颗粒,tcm-0001,10880
金花清感颗粒,tcm-0001,10881
金花清感颗粒,tcm-0001,2697
金花清感颗粒,tcm-0001,654
金花清感颗粒,tcm-0001,100049555
金花清感颗粒,tcm-0001,2720
金花清感颗粒,tcm-0001,4772
金花清感颗粒,tcm-0001,4773
金花清感颗粒,tcm-0001,8876
金花清感颗粒,tcm-0001,8877
金花清感颗粒,tcm-0001,8884
金花清感颗粒,tcm-0001,4792
金花清感颗粒,tcm-0001,699
金花清感颗粒,tcm-0001,162514
金花清感颗粒,tcm-0001,84706
金花清感颗粒,tcm-0001,4842
金花清感颗粒,tcm-0001,4843
金花清感颗粒,tcm-0001,4846
金花清感颗粒,tcm-0001,64240
金花清感颗粒,tcm-0001,64241
金花清感颗粒,tcm-0001,100043508
金花清感颗粒,tcm-0001,2805
金花清感颗粒,tcm-0001,760
金花清感颗粒,tcm-0001,774
金花清感颗粒,tcm-0001,776
金花清感颗粒,tcm-0001,8972
金花清感颗粒,tcm-0001,102636309
金花清感颗粒,tcm-0001,8989
金花清感颗粒,tcm-0001,808
金花清感颗粒,tcm-0001,4915
金花清感颗粒,tcm-0001,2875
金花清感颗粒,tcm-0001,283455
金花清感颗粒,tcm-0001,834
金花清感颗粒,tcm-0001,836
金花清感颗粒,tcm-0001,840
金花清感颗粒,tcm-0001,841
